FD,Family,Type,Laddr,Raddr,Status,Pid,Uids
0,AF_INET,TCP,"{
 ""ip"": ""0.0.0.0"",
 ""port"": 22
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""0.0.0.0"",
 ""port"": 443
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
58,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8889
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 631
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""0.0.0.0"",
 ""port"": 1515
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""0.0.0.0"",
 ""port"": 1514
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""0.0.0.0"",
 ""port"": 55000
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,0,[]
59,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8000
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,29822,"[
 1000,
 1000,
 1000,
 1000
]"
56,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8001
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,29822,"[
 1000,
 1000,
 1000,
 1000
]"
57,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8003
}","{
 ""ip"": ""0.0.0.0"",
 ""port"": 0
}",LISTEN,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 46568
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 34248
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 46558
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 34206
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 34234
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 46532
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 48414
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
61,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8001
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 43878
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 48528
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""192.168.64.10"",
 ""port"": 46514
}","{
 ""ip"": ""34.120.208.123"",
 ""port"": 443
}",LAST_ACK,0,[]
72,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 49204
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 8000
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 34222
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
60,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 43878
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 8001
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 51846
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 51858
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 46544
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
73,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8000
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 49204
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
62,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 49188
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 8000
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""192.168.64.10"",
 ""port"": 1514
}","{
 ""ip"": ""192.168.64.11"",
 ""port"": 37903
}",ESTABLISHED,0,[]
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 34196
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
71,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 8000
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 49188
}",ESTABLISHED,29822,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_INET,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 46520
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""::"",
 ""port"": 22
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""::"",
 ""port"": 9090
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""::1"",
 ""port"": 631
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9300
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""::"",
 ""port"": 55000
}","{
 ""ip"": ""::"",
 ""port"": 0
}",LISTEN,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 46558
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 46520
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 46544
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 34248
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 46532
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 34196
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""fd26:a0b:8f3e:faac:cd4:1dff:febd:4e4d"",
 ""port"": 40870
}","{
 ""ip"": ""2606:4700:8ca7:e608:67a5:0:6c84:7023"",
 ""port"": 443
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 48528
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 51858
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 46568
}",ESTABLISHED,0,[]
0,AF_INET6,TCP,"{
 ""ip"": ""127.0.0.1"",
 ""port"": 9200
}","{
 ""ip"": ""127.0.0.1"",
 ""port"": 48414
}",ESTABLISHED,0,[]
